"","Time","Latitude","Longitude","Last.Stop","Current.Stop","Date"
"3","10:56:22 AM",40.600194,-75.369126,"ATLSS","","2019-12-06"
"5","10:56:28 AM",40.600349,-75.370233,"ATLSS","","2019-12-06"
"12","10:56:34 AM",40.600558,-75.371387,"ATLSS","","2019-12-06"
"18","10:56:40 AM",40.600818,-75.372409,"ATLSS","","2019-12-06"
"21","10:56:45 AM",40.601118,-75.373124,"ATLSS","","2019-12-06"
"39","10:56:57 AM",40.601487,-75.373673,"ATLSS","","2019-12-06"
"42","10:57:03 AM",40.60177,-75.373956,"ATLSS","","2019-12-06"
"48","10:57:09 AM",40.602387,-75.374186,"ATLSS","","2019-12-06"
"52","10:57:15 AM",40.603056,-75.37411,"ATLSS","","2019-12-06"
"64","10:57:21 AM",40.603572,-75.373772,"ATLSS","","2019-12-06"
"65","10:57:27 AM",40.603718,-75.373633,"ATLSS","","2019-12-06"
"72","10:57:33 AM",40.603754,-75.373662,"ATLSS","","2019-12-06"
"75","10:57:40 AM",40.603869,-75.373649,"ATLSS","","2019-12-06"
"82","10:57:45 AM",40.603807,-75.374216,"ATLSS","","2019-12-06"
"93","10:57:52 AM",40.603499,-75.374581,"ATLSS","","2019-12-06"
"98","10:57:58 AM",40.603172,-75.374966,"","Alpha Tau Omega","2019-12-06"
"104","10:58:03 AM",40.603108,-75.375256,"","Alpha Tau Omega","2019-12-06"
"106","10:58:09 AM",40.60316,-75.375494,"","Alpha Tau Omega","2019-12-06"
"113","10:58:16 AM",40.603534,-75.375841,"","Alpha Tau Omega","2019-12-06"
"123","10:58:22 AM",40.603915,-75.376071,"Alpha Tau Omega","","2019-12-06"
"125","10:58:28 AM",40.604122,-75.376439,"Alpha Tau Omega","","2019-12-06"
"133","10:58:34 AM",40.604113,-75.376807,"","Gamma Phi Beta","2019-12-06"
"139","10:58:40 AM",40.604106,-75.376879,"","Gamma Phi Beta","2019-12-06"
"144","10:58:46 AM",40.604052,-75.377388,"","Gamma Phi Beta","2019-12-06"
"154","10:58:52 AM",40.603968,-75.377883,"Gamma Phi Beta","","2019-12-06"
"158","10:58:58 AM",40.603889,-75.378373,"Gamma Phi Beta","","2019-12-06"
"161","10:59:03 AM",40.603739,-75.378857,"","Pi Beta Phi","2019-12-06"
"167","10:59:10 AM",40.603574,-75.379177,"","Pi Beta Phi","2019-12-06"
"174","10:59:16 AM",40.603503,-75.379164,"","Pi Beta Phi","2019-12-06"
"207","10:59:49 AM",40.603755,-75.380488,"Pi Beta Phi","","2019-12-06"
"212","10:59:55 AM",40.604027,-75.380716,"Pi Beta Phi","","2019-12-06"
"223","11:00:01 AM",40.604181,-75.380381,"Pi Beta Phi","","2019-12-06"
"226","11:00:07 AM",40.604087,-75.379981,"Pi Beta Phi","","2019-12-06"
"232","11:00:13 AM",40.60414,-75.379547,"Pi Beta Phi","","2019-12-06"
"238","11:00:19 AM",40.604335,-75.379197,"Pi Beta Phi","","2019-12-06"
"240","11:00:26 AM",40.604484,-75.378972,"Pi Beta Phi","","2019-12-06"
"253","11:00:31 AM",40.604651,-75.378855,"","Taylor College","2019-12-06"
"259","11:00:37 AM",40.60489,-75.378838,"","Taylor College","2019-12-06"
"260","11:00:43 AM",40.605038,-75.378891,"","Taylor College","2019-12-06"
"291","11:01:16 AM",40.605103,-75.379501,"Taylor College","","2019-12-06"
"303","11:01:22 AM",40.605117,-75.379742,"Taylor College","","2019-12-06"
"309","11:01:28 AM",40.605205,-75.380175,"Taylor College","","2019-12-06"
"312","11:01:34 AM",40.605297,-75.380588,"Taylor College","","2019-12-06"
"315","11:01:40 AM",40.605396,-75.380851,"Taylor College","","2019-12-06"
"320","11:01:46 AM",40.605602,-75.380982,"Taylor College","","2019-12-06"
"331","11:01:51 AM",40.605999,-75.381016,"Taylor College","","2019-12-06"
