"","Time","Latitude","Longitude","Last.Stop","Current.Stop","Date"
"2","10:55:59 AM",40.61155,-75.377851,"Farrington Square","","2019-12-06"
"11","10:56:35 AM",40.610606,-75.378461,"Farrington Square","","2019-12-06"
"17","10:56:41 AM",40.610521,-75.378447,"Farrington Square","","2019-12-06"
"25","10:56:47 AM",40.610511,-75.378478,"Farrington Square","","2019-12-06"
"85","10:57:47 AM",40.610256,-75.378401,"","Farrington Square","2019-12-06"
"115","10:58:21 AM",40.609809,-75.377282,"Farrington Square","","2019-12-06"
"128","10:58:26 AM",40.609832,-75.376759,"Farrington Square","","2019-12-06"
"131","10:58:32 AM",40.609813,-75.376237,"Farrington Square","","2019-12-06"
"135","10:58:38 AM",40.609842,-75.37595,"Farrington Square","","2019-12-06"
"143","10:58:44 AM",40.609792,-75.375777,"Farrington Square","","2019-12-06"
"149","10:58:51 AM",40.609521,-75.375772,"Farrington Square","","2019-12-06"
"157","10:58:57 AM",40.609216,-75.375796,"Farrington Square","","2019-12-06"
"163","10:59:03 AM",40.608837,-75.375762,"","Whitaker Lab","2019-12-06"
"169","10:59:09 AM",40.608597,-75.375772,"","Whitaker Lab","2019-12-06"
"171","10:59:15 AM",40.608534,-75.375829,"","Whitaker Lab","2019-12-06"
"231","11:00:15 AM",40.608454,-75.374479,"Whitaker Lab","","2019-12-06"
"269","11:00:51 AM",40.607088,-75.374671,"","Williams Hall","2019-12-06"
"279","11:00:57 AM",40.6069,-75.374864,"","Williams Hall","2019-12-06"
"283","11:01:03 AM",40.60682,-75.374929,"","Williams Hall","2019-12-06"
"306","11:01:27 AM",40.606305,-75.37594,"Williams Hall","","2019-12-06"
"314","11:01:33 AM",40.606122,-75.376258,"Williams Hall","","2019-12-06"
"317","11:01:39 AM",40.605834,-75.376333,"Williams Hall","","2019-12-06"
"323","11:01:45 AM",40.605629,-75.376668,"Williams Hall","","2019-12-06"
"325","11:01:51 AM",40.605589,-75.377134,"","Drown Hall","2019-12-06"
"337","11:01:56 AM",40.605576,-75.377427,"","Drown Hall","2019-12-06"
"342","11:02:02 AM",40.605545,-75.37752,"","Drown Hall","2019-12-06"
"366","11:02:31 AM",40.605367,-75.378858,"","Taylor College","2019-12-06"
"375","11:02:37 AM",40.605242,-75.378967,"","Taylor College","2019-12-06"
"409","11:03:09 AM",40.604183,-75.379435,"Taylor College","","2019-12-06"
"414","11:03:15 AM",40.604071,-75.380004,"Taylor College","","2019-12-06"
"417","11:03:21 AM",40.604251,-75.380541,"Taylor College","","2019-12-06"
"425","11:03:27 AM",40.603899,-75.380939,"Taylor College","","2019-12-06"
"433","11:03:33 AM",40.60383,-75.381636,"Taylor College","","2019-12-06"
