"","Time","Latitude","Longitude","Last.Stop","Current.Stop","Date"
"4","10:56:25 AM",40.5902,-75.368278,"Goodman Campus","","2019-12-06"
"8","10:56:31 AM",40.591074,-75.368511,"Goodman Campus","","2019-12-06"
"16","10:56:37 AM",40.591855,-75.368585,"Goodman Campus","","2019-12-06"
"20","10:56:43 AM",40.592162,-75.368557,"Goodman Campus","","2019-12-06"
"28","10:56:49 AM",40.592479,-75.368521,"Goodman Campus","","2019-12-06"
"34","10:56:55 AM",40.593141,-75.368297,"Goodman Campus","","2019-12-06"
"36","10:57:01 AM",40.593837,-75.367818,"Goodman Campus","","2019-12-06"
"46","10:57:07 AM",40.594465,-75.367223,"Goodman Campus","","2019-12-06"
"54","10:57:12 AM",40.595047,-75.366523,"Goodman Campus","","2019-12-06"
"56","10:57:18 AM",40.595587,-75.365718,"Goodman Campus","","2019-12-06"
"61","10:57:24 AM",40.596087,-75.364756,"Goodman Campus","","2019-12-06"
"66","10:57:30 AM",40.596538,-75.363712,"Goodman Campus","","2019-12-06"
"79","10:57:37 AM",40.597011,-75.362746,"Goodman Campus","","2019-12-06"
"81","10:57:43 AM",40.597651,-75.362049,"Goodman Campus","","2019-12-06"
"89","10:57:49 AM",40.598368,-75.362047,"Goodman Campus","","2019-12-06"
"91","10:57:55 AM",40.598824,-75.362826,"Goodman Campus","","2019-12-06"
"97","10:58:01 AM",40.598828,-75.363844,"Goodman Campus","","2019-12-06"
"105","10:58:07 AM",40.598646,-75.364796,"Goodman Campus","","2019-12-06"
"112","10:58:13 AM",40.598537,-75.365649,"Goodman Campus","","2019-12-06"
"117","10:58:19 AM",40.598645,-75.36649,"Goodman Campus","","2019-12-06"
"120","10:58:25 AM",40.599013,-75.367095,"Goodman Campus","","2019-12-06"
"129","10:58:31 AM",40.599533,-75.367338,"Goodman Campus","","2019-12-06"
"147","10:58:49 AM",40.600366,-75.366021,"Goodman Campus","","2019-12-06"
"153","10:58:55 AM",40.600368,-75.3658,"Goodman Campus","","2019-12-06"
"159","10:59:01 AM",40.600023,-75.365571,"","Jordan Hall","2019-12-06"
"172","10:59:13 AM",40.599326,-75.365323,"","Jordan Hall","2019-12-06"
"176","10:59:19 AM",40.599479,-75.364694,"Jordan Hall","","2019-12-06"
"184","10:59:25 AM",40.599648,-75.364101,"Jordan Hall","","2019-12-06"
"189","10:59:31 AM",40.599792,-75.363494,"Jordan Hall","","2019-12-06"
"199","10:59:37 AM",40.599843,-75.362892,"","Building C","2019-12-06"
"202","10:59:43 AM",40.599845,-75.362287,"Building C","","2019-12-06"
"209","10:59:49 AM",40.599894,-75.361822,"Building C","","2019-12-06"
"214","10:59:54 AM",40.599936,-75.361771,"Building C","","2019-12-06"
"235","11:00:21 AM",40.600259,-75.36032,"Building C","","2019-12-06"
"247","11:00:27 AM",40.600418,-75.359658,"Building C","","2019-12-06"
"251","11:00:33 AM",40.600561,-75.358993,"Building C","","2019-12-06"
"258","11:00:39 AM",40.600756,-75.358296,"Building C","","2019-12-06"
"263","11:00:45 AM",40.600926,-75.35771,"Building C","","2019-12-06"
"268","11:00:51 AM",40.601224,-75.357287,"Building C","","2019-12-06"
"275","11:00:57 AM",40.601581,-75.35709,"Building C","","2019-12-06"
"284","11:01:03 AM",40.601896,-75.357219,"Building C","","2019-12-06"
"289","11:01:09 AM",40.60202,-75.357565,"Building C","","2019-12-06"
"293","11:01:15 AM",40.602098,-75.357979,"","Iacocca C Wing","2019-12-06"
"297","11:01:21 AM",40.602202,-75.358364,"","Iacocca C Wing","2019-12-06"
"308","11:01:27 AM",40.602337,-75.358667,"","Iacocca C Wing","2019-12-06"
"310","11:01:32 AM",40.602535,-75.358944,"Iacocca C Wing","","2019-12-06"
"318","11:01:38 AM",40.602669,-75.359281,"Iacocca C Wing","","2019-12-06"
"321","11:01:44 AM",40.602575,-75.359599,"Iacocca C Wing","","2019-12-06"
"334","11:01:54 AM",40.602372,-75.359884,"Iacocca C Wing","","2019-12-06"
"338","11:01:57 AM",40.602172,-75.360173,"","Iacocca Hall","2019-12-06"
"344","11:02:03 AM",40.601961,-75.360426,"","Iacocca Hall","2019-12-06"
"348","11:02:09 AM",40.601913,-75.360539,"","Iacocca Hall","2019-12-06"
"405","11:03:08 AM",40.601939,-75.360521,"","Iacocca Hall","2019-12-06"
"469","11:04:09 AM",40.601954,-75.360512,"","Iacocca Hall","2019-12-06"
"527","11:05:09 AM",40.601959,-75.360499,"","Iacocca Hall","2019-12-06"
"587","11:06:09 AM",40.601959,-75.360495,"","Iacocca Hall","2019-12-06"
"631","11:06:53 AM",40.601513,-75.361762,"Iacocca Hall","","2019-12-06"
"638","11:06:59 AM",40.601448,-75.362321,"Iacocca Hall","","2019-12-06"
"642","11:07:05 AM",40.601408,-75.362865,"Iacocca Hall","","2019-12-06"
"646","11:07:10 AM",40.601497,-75.363174,"Iacocca Hall","","2019-12-06"
"659","11:07:17 AM",40.601632,-75.363109,"Iacocca Hall","","2019-12-06"
"661","11:07:22 AM",40.601781,-75.362749,"Iacocca Hall","","2019-12-06"
"667","11:07:28 AM",40.60192,-75.362323,"Iacocca Hall","","2019-12-06"
"672","11:07:35 AM",40.602125,-75.361879,"Iacocca Hall","","2019-12-06"
"679","11:07:41 AM",40.602396,-75.361471,"Iacocca Hall","","2019-12-06"
"686","11:07:46 AM",40.602767,-75.361228,"Iacocca Hall","","2019-12-06"
"690","11:07:53 AM",40.603191,-75.3611,"Iacocca Hall","","2019-12-06"
"695","11:07:59 AM",40.603597,-75.361134,"Iacocca Hall","","2019-12-06"
"701","11:08:05 AM",40.603966,-75.36122,"","ATLSS","2019-12-06"
"709","11:08:11 AM",40.604186,-75.361081,"","ATLSS","2019-12-06"
"715","11:08:17 AM",40.604127,-75.360901,"","ATLSS","2019-12-06"
"721","11:08:23 AM",40.60416,-75.360748,"ATLSS","","2019-12-06"
"726","11:08:29 AM",40.604092,-75.360778,"","ATLSS","2019-12-06"
"768","11:09:11 AM",40.602858,-75.36124,"ATLSS","","2019-12-06"
"778","11:09:17 AM",40.602467,-75.361495,"ATLSS","","2019-12-06"
"782","11:09:23 AM",40.602114,-75.361935,"ATLSS","","2019-12-06"
"785","11:09:29 AM",40.601884,-75.36238,"ATLSS","","2019-12-06"
"793","11:09:35 AM",40.601675,-75.362932,"ATLSS","","2019-12-06"
"795","11:09:41 AM",40.601507,-75.363381,"ATLSS","","2019-12-06"
"805","11:09:47 AM",40.601339,-75.363767,"ATLSS","","2019-12-06"
"813","11:09:53 AM",40.601255,-75.363924,"ATLSS","","2019-12-06"
"818","11:09:58 AM",40.601026,-75.364263,"ATLSS","","2019-12-06"
"824","11:10:05 AM",40.600816,-75.364684,"ATLSS","","2019-12-06"
"829","11:10:10 AM",40.60057,-75.365158,"ATLSS","","2019-12-06"
"835","11:10:16 AM",40.600461,-75.36559,"ATLSS","","2019-12-06"
"841","11:10:23 AM",40.60053,-75.365597,"ATLSS","","2019-12-06"
"846","11:10:29 AM",40.600526,-75.365604,"ATLSS","","2019-12-06"
"852","11:10:35 AM",40.600369,-75.366133,"ATLSS","","2019-12-06"
"855","11:10:40 AM",40.600179,-75.366766,"ATLSS","","2019-12-06"
"866","11:10:46 AM",40.600109,-75.367463,"ATLSS","","2019-12-06"
"870","11:10:53 AM",40.600112,-75.368062,"ATLSS","","2019-12-06"
"878","11:10:59 AM",40.600126,-75.368211,"ATLSS","","2019-12-06"
"883","11:11:05 AM",40.600174,-75.368844,"ATLSS","","2019-12-06"
"886","11:11:11 AM",40.600292,-75.369784,"ATLSS","","2019-12-06"
"897","11:11:17 AM",40.600434,-75.370736,"ATLSS","","2019-12-06"
"904","11:11:23 AM",40.600573,-75.371659,"ATLSS","","2019-12-06"
"909","11:11:29 AM",40.600805,-75.372499,"ATLSS","","2019-12-06"
"914","11:11:34 AM",40.601121,-75.373222,"ATLSS","","2019-12-06"
"919","11:11:41 AM",40.601395,-75.373574,"ATLSS","","2019-12-06"
"928","11:11:46 AM",40.601447,-75.373643,"ATLSS","","2019-12-06"
"931","11:11:53 AM",40.601971,-75.374042,"ATLSS","","2019-12-06"
"938","11:11:58 AM",40.602688,-75.374167,"ATLSS","","2019-12-06"
"943","11:12:05 AM",40.603259,-75.373986,"ATLSS","","2019-12-06"
"948","11:12:11 AM",40.603635,-75.373726,"ATLSS","","2019-12-06"
"953","11:12:16 AM",40.603835,-75.373634,"ATLSS","","2019-12-06"
"962","11:12:23 AM",40.603893,-75.373754,"ATLSS","","2019-12-06"
"974","11:12:35 AM",40.603607,-75.374533,"ATLSS","","2019-12-06"
"975","11:12:41 AM",40.603234,-75.374939,"","Alpha Tau Omega","2019-12-06"
"988","11:12:47 AM",40.603108,-75.375312,"","Alpha Tau Omega","2019-12-06"
"990","11:12:53 AM",40.603106,-75.3753,"","Alpha Tau Omega","2019-12-06"
"1015","11:13:17 AM",40.603918,-75.376123,"Alpha Tau Omega","","2019-12-06"
"1024","11:13:23 AM",40.604099,-75.376617,"","Gamma Phi Beta","2019-12-06"
"1026","11:13:28 AM",40.604053,-75.376763,"","Gamma Phi Beta","2019-12-06"
"1050","11:13:52 AM",40.603907,-75.37807,"Gamma Phi Beta","","2019-12-06"
"1059","11:13:59 AM",40.603835,-75.378715,"","Pi Beta Phi","2019-12-06"
"1062","11:14:04 AM",40.603679,-75.379081,"","Pi Beta Phi","2019-12-06"
"1065","11:14:11 AM",40.603715,-75.379138,"","Pi Beta Phi","2019-12-06"
"1097","11:14:39 AM",40.603828,-75.380603,"Pi Beta Phi","","2019-12-06"
"1104","11:14:45 AM",40.604152,-75.380577,"Pi Beta Phi","","2019-12-06"
"1106","11:14:51 AM",40.604119,-75.380175,"Pi Beta Phi","","2019-12-06"
"1115","11:14:57 AM",40.604094,-75.379734,"Pi Beta Phi","","2019-12-06"
"1122","11:15:03 AM",40.604241,-75.379411,"Pi Beta Phi","","2019-12-06"
"1128","11:15:08 AM",40.604459,-75.379057,"Pi Beta Phi","","2019-12-06"
"1130","11:15:14 AM",40.604552,-75.37895,"Pi Beta Phi","","2019-12-06"
"1136","11:15:20 AM",40.604759,-75.378884,"","Taylor College","2019-12-06"
"1145","11:15:26 AM",40.604964,-75.378901,"","Taylor College","2019-12-06"
"1153","11:15:32 AM",40.604989,-75.378937,"","Taylor College","2019-12-06"
